Symbiodinium42993	PFAM SMP-30 Gluconolaconase
Symbiodinium28056	mRNA cap-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome. The eIF-3 complex specifically targets and initiates translation of a subset of mRNAs involved in cell proliferation. In the eIF-3 complex, eif3d specifically recognizes and binds the 7-methylguanosine cap of a subset of mRNAs
Symbiodinium74181	positive regulation of DNA N-glycosylase activity
Symbiodinium23296	Belongs to the SKP1 family
Symbiodinium21167	alpha-ketoacid dehydrogenase activity
Symbiodinium41775	Catalyzes the NAD( )-dependent oxidation of L-threonine to 2-amino-3-ketobutyrate
Symbiodinium47615	In Between Ring fingers
Symbiodinium32621	belongs to the flavoprotein pyridine nucleotide cytochrome reductase family
Symbiodinium53141	Belongs to the glycosyl hydrolase 30 family
Symbiodinium59802	CCR4-NOT transcription complex subunit
Symbiodinium33912	E1-E2 ATPase
Symbiodinium17177	Polysaccharide biosynthesis protein
Symbiodinium55721	Hydantoinase/oxoprolinase N-terminal region
Symbiodinium28786	Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
Symbiodinium10565	PFAM Class I peptide chain release factor
Symbiodinium28246	leukotriene-C4 synthase activity
Symbiodinium23711	Chlorophyll A-B binding protein
Symbiodinium21173	SpoU rRNA Methylase family
Symbiodinium40148	L-xylulose reductase (NAD+) activity
Symbiodinium37318	GTPase activator activity
Symbiodinium26109	N,N-dimethylaniline monooxygenase activity
Symbiodinium49825	Glutathione S-transferase, N-terminal domain
Symbiodinium55168	ADP-ribosylglycohydrolase
Symbiodinium28171	Belongs to the small GTPase superfamily. Arf family
Symbiodinium16635	Dual specificity phosphatase, catalytic domain
Symbiodinium45110	Zinc finger, CCCH type
Symbiodinium47985	Reversible hydration of carbon dioxide
Symbiodinium35830	Glucokinase
Symbiodinium49888	Belongs to the thiamine pyrophosphokinase family
Symbiodinium9910	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium9513	ATPase required for the post-translational delivery of tail-anchored (TA) proteins to the endoplasmic reticulum. Recognizes and selectively binds the transmembrane domain of TA proteins in the cytosol. This complex then targets to the endoplasmic reticulum by membrane-bound receptors, where the tail- anchored protein is released for insertion. This process is regulated by ATP binding and hydrolysis. ATP binding drives the homodimer towards the closed dimer state, facilitating recognition of newly synthesized TA membrane proteins. ATP hydrolysis is required for insertion. Subsequently, the homodimer reverts towards the open dimer state, lowering its affinity for the membrane-bound receptor, and returning it to the cytosol to initiate a new round of targeting
Symbiodinium53575	Carbamoyltransferase C-terminus
Symbiodinium31044	membrane insertase activity
Symbiodinium50492	unfolded protein binding
Symbiodinium27326	inorganic diphosphatase activity
Symbiodinium47702	Dihydroxyacetone kinase
Symbiodinium37497	protein kinase activity
Symbiodinium49814	MatE
Symbiodinium46769	Belongs to the ubiquitin-conjugating enzyme family
Symbiodinium47499	Removes the formyl group from the N-terminal Met of newly synthesized proteins
Symbiodinium9942	kinase activity
Symbiodinium40764	PFAM Alpha beta hydrolase
Symbiodinium43657	Protein kinase, cAMP-dependent, regulatory, type I, beta
Symbiodinium16785	tRNA (guanine-N7-)-methyltransferase activity
Symbiodinium21151	acetylcholinesterase activity
Symbiodinium10122	RNA-binding protein mei2 homologue
Symbiodinium36619	EF-hand domain pair
Symbiodinium45358	E3 ubiquitin-protein ligase
Symbiodinium37886	Tetratricopeptide repeat
Symbiodinium34554	PRP38 family
Symbiodinium22883	Responsible for synthesis of pseudouridine from uracil
Symbiodinium42376	gamma-glutamylaminecyclotransferase activity
Symbiodinium29737	Iron-binding zinc finger CDGSH type
Symbiodinium23694	PFAM Enoyl-CoA hydratase isomerase
Symbiodinium32809	COP9 signalosome complex subunit 7b
Symbiodinium11687	May function in recognizing stalled ribosomes and triggering endonucleolytic cleavage of the mRNA, a mechanism to release non-functional ribosomes and degrade damaged mRNAs
Symbiodinium38592	microtubule motor activity
Symbiodinium27304	Belongs to the universal ribosomal protein uL11 family
Symbiodinium31796	PFAM regulator of chromosome condensation, RCC1
Symbiodinium33541	phosphatase 2C
Symbiodinium9457	PDZ DHR GLGF domain protein
Symbiodinium19500	Saposin (B) Domains
Symbiodinium22721	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding
Symbiodinium18181	Cyclin-dependent kinase G-2-like
Symbiodinium27957	Domain of unknown function (DUF3449)
Symbiodinium19483	Ribosomal protein L7Ae/L30e/S12e/Gadd45 family
Symbiodinium7380	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium27857	IMP cyclohydrolase activity
Symbiodinium52669	ubiquitin-like protein ligase activity
Symbiodinium29009	A1 Propeptide
Symbiodinium33277	non-haem dioxygenase in morphine synthesis N-terminal
Symbiodinium72611	ribosomal protein
Symbiodinium23921	Dual specificity phosphatase, catalytic domain
Symbiodinium30126	peroxiredoxin activity
Symbiodinium43935	potassium:proton antiporter activity
Symbiodinium39918	RNA recognition motif
Symbiodinium33322	GTP binding
Symbiodinium6965	ABC transporter transmembrane region
Symbiodinium45602	Domain in Tre-2, BUB2p, and Cdc16p. Probable Rab-GAPs.
Symbiodinium9687	Belongs to the ClpA ClpB family
Symbiodinium40979	Platelet-activating factor acetylhydrolase, isoform II
Symbiodinium49339	N2227
Symbiodinium30202	Belongs to the protein kinase superfamily
Symbiodinium49978	Low-density lipoprotein receptor domain class A
Symbiodinium27904	Non-ribosomal peptide synthetase modules and related proteins
Symbiodinium7254	callose synthase
Symbiodinium39707	Belongs to the BI1 family
Symbiodinium38345	mitochondrial transport
Symbiodinium51352	Pyruvate dehydrogenase kinase, isozyme 2
Symbiodinium48046	Dual specificity phosphatase, catalytic domain
Symbiodinium46759	protein serine/threonine kinase activity
Symbiodinium45821	Belongs to the class I-like SAM-binding methyltransferase superfamily. RsmB NOP family
Symbiodinium15710	Belongs to the PI3 PI4-kinase family
Symbiodinium39700	protein N-terminus binding
Symbiodinium20478	UDP-N-acetylglucosamine diphosphorylase activity
Symbiodinium38839	protein polyglutamylation
Symbiodinium42712	Calcium-dependent protein kinase
Symbiodinium13042	microtubule binding
Symbiodinium35864	actin binding
Symbiodinium24998	Belongs to the cytochrome P450 family
Symbiodinium28506	Spindle assembly abnormal protein 6 homolog
Symbiodinium36907	Cytoskeletal adhesion
Symbiodinium9635	peptide-methionine (R)-S-oxide reductase activity
Symbiodinium50859	DNAJ heat shock N-terminal domain-containing protein
Symbiodinium7295	Source PGD
Symbiodinium28340	Dynein light chain type 1
Symbiodinium24978	DNA topoisomerase type I activity
Symbiodinium21461	Tetratricopeptide repeat
Symbiodinium16097	NADPH:sulfur oxidoreductase activity
Symbiodinium68042	5-aminolevulinic acid synthase
Symbiodinium24056	Helicase associated domain (Ha2) protein
Symbiodinium28949	UTP:glucose-1-phosphate uridylyltransferase activity
Symbiodinium27817	This is a component of the ubiquinol-cytochrome c reductase complex (complex III or cytochrome b-c1 complex), which is part of the mitochondrial respiratory chain. This protein may mediate formation of the complex between cytochromes c and c1
Symbiodinium8291	Mycolic acid cyclopropane synthetase
Symbiodinium39261	Conserved TM helix
Symbiodinium22124	sulfuric ester hydrolase activity
Symbiodinium40089	regulation of cardiac conduction
Symbiodinium27735	Peptidase family S49 N-terminal
Symbiodinium43941	Tartrate-resistant acid phosphatase type 5
Symbiodinium15132	Belongs to the AB hydrolase superfamily. Lipase family
Symbiodinium53369	Potential Monad-binding region of RPAP3
Symbiodinium58653	phosphoesterases, related to the Icc protein
Symbiodinium46159	negative regulation of inclusion body assembly
Symbiodinium33061	Involved in the glycolate utilization. Catalyzes the condensation and subsequent hydrolysis of acetyl-coenzyme A (acetyl-CoA) and glyoxylate to form malate and CoA
Symbiodinium25757	Phosphoenolpyruvate carboxykinase
Symbiodinium28602	RNA binding
Symbiodinium28788	Belongs to the DEAD box helicase family
Symbiodinium53885	Major facilitator superfamily
Symbiodinium43487	3-hydroxyisobutyryl-CoA hydrolase activity
Symbiodinium12736	Calmodulin-binding
Symbiodinium25011	Belongs to the universal ribosomal protein uL5 family
Symbiodinium29604	copper chaperone activity
Symbiodinium50505	Leucine rich repeat
Symbiodinium18261	Dehydrogenase E1 component
Symbiodinium29071	FAD binding
Symbiodinium43583	60S ribosomal protein L7A
Symbiodinium26983	FAD dependent oxidoreductase
Symbiodinium40175	Rab2, GTPase
Symbiodinium37039	ATP-dependent microtubule motor activity, plus-end-directed
Symbiodinium29560	116 kDa U5 small nuclear ribonucleoprotein component N-terminus
Symbiodinium13615	Glutathione-dependent formaldehyde-activating enzyme
Symbiodinium24871	transporter
Symbiodinium38271	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase activity
Symbiodinium42140	UbiA prenyltransferase family
Symbiodinium23300	Sodium potassium calcium exchanger
Symbiodinium28001	EF-hand domain
Symbiodinium8960	RNA recognition motif 2
Symbiodinium5884	Cupin-like domain
Symbiodinium26672	phosphoglycerate kinase activity
Symbiodinium32012	Serine hydrolase (FSH1)
Symbiodinium4223	Putative RNA methylase family UPF0020
Symbiodinium11611	Histidine phosphatase superfamily (branch 1)
Symbiodinium45057	dioxygenase activity
Symbiodinium41231	ADP-glyceromanno-heptose 6-epimerase activity
Symbiodinium30915	Transcription and mRNA export factor ENY2 isoform X1
Symbiodinium42653	racemase and epimerase activity, acting on carbohydrates and derivatives
Symbiodinium19444	rRNA binding
Symbiodinium52027	ADP-glyceromanno-heptose 6-epimerase activity
Symbiodinium46304	calcium-dependent cysteine-type endopeptidase activity
Symbiodinium15457	ATP-binding cassette, subfamily B (MDR TAP), member
Symbiodinium35416	Nucleolar protein interacting with the FHA domain of MKI67
Symbiodinium28603	Multifunctional enzyme that catalyzes the SAM-dependent methylations of uroporphyrinogen III at position C-2 and C-7 to form precorrin-2 via precorrin-1. Then it catalyzes the NAD- dependent ring dehydrogenation of precorrin-2 to yield sirohydrochlorin. Finally, it catalyzes the ferrochelation of sirohydrochlorin to yield siroheme
Symbiodinium55628	L-ascorbic acid binding
Symbiodinium13707	Aspartyl/Asparaginyl beta-hydroxylase
Symbiodinium19509	Belongs to the universal ribosomal protein uL23 family
Symbiodinium10125	iron-sulfur cluster assembly
Symbiodinium27583	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome
Symbiodinium33710	aldo keto reductase
Symbiodinium30397	TNF receptor-associated factor 3 interacting protein 1
Symbiodinium26091	Lipase (Class 3)
Symbiodinium48728	PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides
Symbiodinium8442	Belongs to the small GTPase superfamily. SAR1 family
Symbiodinium30457	Redoxin
Symbiodinium8091	7SK snRNA binding
Symbiodinium5583	Sulfate permease family
Symbiodinium17695	Domain of unknown function (DUF1768)
Symbiodinium62425	Belongs to the bacterial ribosomal protein bL35 family
Symbiodinium19041	transferase activity, transferring hexosyl groups
Symbiodinium23281	Phosphotransferase enzyme family
Symbiodinium57366	Belongs to the cyclic nucleotide phosphodiesterase family
Symbiodinium30518	cell redox homeostasis
Symbiodinium23085	Non-ribosomal peptide synthetase modules and related proteins
Symbiodinium20201	Rieske 2Fe-2S
Symbiodinium55529	Ribosomal protein L11 methyltransferase (PrmA)
Symbiodinium29617	sphingolipid transporter activity
Symbiodinium66328	KR domain
Symbiodinium55827	Domain of unknown function (DUF1768)
Symbiodinium24303	pyruvate kinase activity
Symbiodinium48797	ankyrin repeat
Symbiodinium18695	glutathione transferase activity
Symbiodinium41845	Phosphoesterase family
Symbiodinium38163	Leucine-rich repeat
Symbiodinium34375	outer dynein arm assembly
Symbiodinium18917	-
Symbiodinium51721	Oxidoreductase
Symbiodinium14518	polypeptide N-acetylgalactosaminyltransferase activity
Symbiodinium33633	Belongs to the TRAFAC class myosin-kinesin ATPase superfamily. Kinesin family
Symbiodinium47427	zinc-RING finger domain
Symbiodinium49510	Chaperone protein dnaJ
Symbiodinium35503	RNA recognition motif
Symbiodinium34684	vesicle-mediated transport
Symbiodinium11805	macromolecule localization
Symbiodinium12732	Belongs to the AAA ATPase family
Symbiodinium34970	protein folding in endoplasmic reticulum
Symbiodinium26877	Regulator of chromosome condensation (RCC1) repeat
Symbiodinium11795	Ribosomal L38e protein family
Symbiodinium40560	Belongs to the cation diffusion facilitator (CDF) transporter (TC 2.A.4) family
Symbiodinium22523	phosphoenolpyruvate carboxykinase (ATP) activity
Symbiodinium12712	Methyltransferase domain
Symbiodinium67484	-
Symbiodinium32922	RNA-binding protein mei2 homologue
Symbiodinium7501	Belongs to the potassium channel family
Symbiodinium37086	Chaperone protein dnaJ
Symbiodinium44424	NifU-like domain
Symbiodinium38942	Belongs to the PI3 PI4-kinase family
Symbiodinium37873	cAMP-dependent protein kinase regulator activity
Symbiodinium27688	RNA-binding protein mei2 homologue
Symbiodinium37391	peptidyl-prolyl cis-trans isomerase activity
Symbiodinium64888	Linear amide C-N hydrolases, choloylglycine hydrolase family
Symbiodinium47128	Haloacid dehalogenase-like hydrolase
Symbiodinium32767	Belongs to the peptidase C19 family
Symbiodinium73326	synthase
Symbiodinium34455	glutamyl-tRNA reductase activity
Symbiodinium29158	oxidoreductase activity, acting on superoxide radicals as acceptor
Symbiodinium49756	DnaJ C terminal domain
Symbiodinium45598	Gene with more than two copies in the genome that does not belong to a merged region and that could not be assigned to a particular haplotype
Symbiodinium50336	PFAM Formylglycine-generating sulfatase enzyme
Symbiodinium11314	Belongs to the thiolase family
Symbiodinium8276	Cytochrome P450
Symbiodinium29000	RNA-binding protein mei2 homologue
Symbiodinium53261	Yip1 domain
Symbiodinium57336	Protein kinase domain
Symbiodinium44305	SCP / Tpx-1 / Ag5 / PR-1 / Sc7 family of extracellular domains.
